version	accession	release_classification	built_classification	unresolved_reason	virus_type	country	collection_date
OK634181.1	OK634181	cVDPV	VDPV		PV2	Angola	2019
OK634182.1	OK634182	cVDPV	VDPV		PV2	Angola	2019
OK634183.1	OK634183	cVDPV	VDPV		PV2	Angola	2019
OK634184.1	OK634184	cVDPV	VDPV		PV2	Angola	2019
OK634185.1	OK634185	cVDPV	VDPV		PV2	Angola	2019
OK634186.1	OK634186	cVDPV	VDPV		PV2	Angola	2019
OK634187.1	OK634187	cVDPV	VDPV		PV2	Angola	2019
OK634188.1	OK634188	cVDPV	VDPV		PV2	Angola	2019
OK634189.1	OK634189	cVDPV	VDPV		PV2	Angola	2019
OK634190.1	OK634190	cVDPV	VDPV		PV2	Angola	2019
OK634191.1	OK634191	cVDPV	VDPV		PV2	Angola	2019
OK634192.1	OK634192	cVDPV	VDPV		PV2	Angola	2019
OK634193.1	OK634193	cVDPV	VDPV		PV2	Angola	2019
OK634194.1	OK634194	cVDPV	VDPV		PV2	Angola	2019
OK634195.1	OK634195	cVDPV	VDPV		PV2	Angola	2019
OK634196.1	OK634196	cVDPV	VDPV		PV2	Angola	2019
OK634197.1	OK634197	cVDPV	VDPV		PV2	Angola	2019
OK634198.1	OK634198	cVDPV	VDPV		PV2	Angola	2019
OK634199.1	OK634199	cVDPV	VDPV		PV2	Angola	2019
OK634200.1	OK634200	cVDPV	VDPV		PV2	Angola	2019
OK634201.1	OK634201	cVDPV	VDPV		PV2	Angola	2019
OK634202.1	OK634202	cVDPV	VDPV		PV2	Angola	2019
OK634203.1	OK634203	cVDPV	VDPV		PV2	Angola	2019
OK634204.1	OK634204	cVDPV	VDPV		PV2	Angola	2019
OK634205.1	OK634205	cVDPV	VDPV		PV2	Angola	2019
OK634206.1	OK634206	cVDPV	VDPV		PV2	Angola	2019
OK634207.1	OK634207	cVDPV	VDPV		PV2	Angola	2019
OK634208.1	OK634208	cVDPV	VDPV		PV2	Angola	2019
OK634209.1	OK634209	cVDPV	VDPV		PV2	Angola	2019
OK634210.1	OK634210	cVDPV	VDPV		PV2	Angola	2019
OK634211.1	OK634211	cVDPV	VDPV		PV2	Angola	2019
OK634212.1	OK634212	cVDPV	VDPV		PV2	Angola	2019
OK634213.1	OK634213	cVDPV	VDPV		PV2	Angola	2019
OK634214.1	OK634214	cVDPV	VDPV		PV2	Angola	2019
OK634215.1	OK634215	cVDPV	VDPV		PV2	Angola	2019
OK634216.1	OK634216	cVDPV	VDPV		PV2	Angola	2019
OK634217.1	OK634217	cVDPV	VDPV		PV2	Angola	2019
OK634218.1	OK634218	cVDPV	VDPV		PV2	Angola	2019
OK634219.1	OK634219	cVDPV	VDPV		PV2	Angola	2019
OK634220.1	OK634220	cVDPV	VDPV		PV2	Angola	2019
OK634221.1	OK634221	cVDPV	VDPV		PV2	Angola	2019
OK634222.1	OK634222	cVDPV	VDPV		PV2	Angola	2019
OK634223.1	OK634223	cVDPV	VDPV		PV2	Angola	2019
OK634224.1	OK634224	cVDPV	VDPV		PV2	Angola	2019
OK634225.1	OK634225	cVDPV	VDPV		PV2	Angola	2019
OK634226.1	OK634226	cVDPV	VDPV		PV2	Angola	2019
OK634227.1	OK634227	cVDPV	VDPV		PV2	Angola	2019
OK634228.1	OK634228	cVDPV	VDPV		PV2	Angola	2019
OK634229.1	OK634229	cVDPV	VDPV		PV2	Angola	2019
OK634230.1	OK634230	cVDPV	VDPV		PV2	Angola	2019
OK634231.1	OK634231	cVDPV	VDPV		PV2	Angola	2019
OK634232.1	OK634232	cVDPV	VDPV		PV2	Angola	2019
OK634233.1	OK634233	cVDPV	VDPV		PV2	Angola	2019
OK634234.1	OK634234	cVDPV	VDPV		PV2	Angola	2019
OK634235.1	OK634235	cVDPV	VDPV		PV2	Angola	2019
OK634236.1	OK634236	cVDPV	VDPV		PV2	Angola	2019
OK634237.1	OK634237	cVDPV	VDPV		PV2	Angola	2019
OK634238.1	OK634238	cVDPV	VDPV		PV2	Angola	2019
OK634239.1	OK634239	cVDPV	VDPV		PV2	Angola	2019
OK634240.1	OK634240	cVDPV	VDPV		PV2	Angola	2019
OK634241.1	OK634241	cVDPV	VDPV		PV2	Angola	2019
OK634242.1	OK634242	cVDPV	VDPV		PV2	Angola	2019
OK634243.1	OK634243	cVDPV	VDPV		PV2	Angola	2019
OK634244.1	OK634244	cVDPV	VDPV		PV2	Angola	2019
OK634245.1	OK634245	cVDPV	VDPV		PV2	Angola	2019
OK634246.1	OK634246	cVDPV	VDPV		PV2	Angola	2019
OK634247.1	OK634247	cVDPV	VDPV		PV2	Angola	2019
OK634248.1	OK634248	cVDPV	VDPV		PV2	Angola	2019
OK634249.1	OK634249	cVDPV	VDPV		PV2	Angola	2019
OK634250.1	OK634250	cVDPV	VDPV		PV2	Angola	2019
OK634251.1	OK634251	cVDPV	VDPV		PV2	Angola	2019
OK634252.1	OK634252	cVDPV	VDPV		PV2	Angola	2019
OK634253.1	OK634253	cVDPV	VDPV		PV2	Angola	2019
OK634254.1	OK634254	cVDPV	VDPV		PV2	Angola	2019
OK634255.1	OK634255	cVDPV	VDPV		PV2	Angola	2019
OK634256.1	OK634256	cVDPV	VDPV		PV2	Angola	2020
OK634257.1	OK634257	cVDPV	VDPV		PV2	Angola	2020
OK634258.1	OK634258	cVDPV	VDPV		PV2	Angola	2019
OK634259.1	OK634259	cVDPV	VDPV		PV2	Angola	2019
OK634260.1	OK634260	cVDPV	VDPV		PV2	Angola	2019
OK634261.1	OK634261	cVDPV	VDPV		PV2	Angola	2019
OK634262.1	OK634262	cVDPV	VDPV		PV2	Angola	2019
OK634263.1	OK634263	cVDPV	VDPV		PV2	Angola	2019
OK634264.1	OK634264	cVDPV	VDPV		PV2	Angola	2019
OK634265.1	OK634265	cVDPV	VDPV		PV2	Angola	2019
OK634266.1	OK634266	cVDPV	VDPV		PV2	Angola	2020
OK634267.1	OK634267	cVDPV	VDPV		PV2	Angola	2019
OK634268.1	OK634268	cVDPV	VDPV		PV2	Angola	2019
OK634269.1	OK634269	cVDPV	VDPV		PV2	Angola	2019
OK634270.1	OK634270	cVDPV	VDPV		PV2	Angola	2019
OK634271.1	OK634271	cVDPV	VDPV		PV2	Angola	2019
OK634272.1	OK634272	cVDPV	VDPV		PV2	Angola	2019
OK634273.1	OK634273	cVDPV	VDPV		PV2	Angola	2019
OK634274.1	OK634274	cVDPV	VDPV		PV2	Angola	2019
OK634275.1	OK634275	cVDPV	VDPV		PV2	Angola	2019
OK634276.1	OK634276	cVDPV	VDPV		PV2	Angola	2019
OK634277.1	OK634277	cVDPV	VDPV		PV2	Angola	2019
OK634278.1	OK634278	cVDPV	VDPV		PV2	Angola	2019
OK634279.1	OK634279	cVDPV	VDPV		PV2	Angola	2019
OK634280.1	OK634280	cVDPV	VDPV		PV2	Angola	2019
ON207141.1	ON207141	iVDPV	VDPV		PV3	China	2011-03-18
ON207142.1	ON207142	iVDPV	VDPV		PV3	China	2011-03-18
ON207143.1	ON207143	iVDPV	VDPV		PV3	China	2011-04-15
ON207144.1	ON207144	iVDPV	VDPV		PV3	China	2011-04-28
ON207145.1	ON207145	iVDPV	VDPV		PV3	China	2011-04-28
ON207146.1	ON207146	iVDPV	VDPV		PV3	China	2011-06-09
ON207147.1	ON207147	iVDPV	VDPV		PV3	China	2011-07-08
ON207148.1	ON207148	iVDPV	VDPV		PV3	China	2011-08-17
ON207149.1	ON207149	iVDPV	VDPV		PV3	China	2011-09-08
ON207150.1	ON207150	iVDPV	VDPV		PV3	China	2011-10-26
ON207151.1	ON207151	iVDPV	VDPV		PV3	China	2011-10-26
ON207152.1	ON207152	iVDPV	VDPV		PV3	China	2012-01-13
PE314016.1	PE314016	wild		follows_unresolved_virus_group	PV1		
PH149759.1	PH149759	wild		follows_unresolved_virus_group	PV1		
PQ740659.1	PQ740659	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740660.1	PQ740660	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740661.1	PQ740661	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740662.1	PQ740662	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740663.1	PQ740663	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740664.1	PQ740664	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740665.1	PQ740665	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740666.1	PQ740666	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740667.1	PQ740667	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740668.1	PQ740668	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740669.1	PQ740669	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740670.1	PQ740670	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740671.1	PQ740671	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740672.1	PQ740672	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740673.1	PQ740673	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740674.1	PQ740674	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740675.1	PQ740675	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740676.1	PQ740676	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740677.1	PQ740677	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740678.1	PQ740678	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740679.1	PQ740679	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740680.1	PQ740680	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740681.1	PQ740681	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740682.1	PQ740682	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740683.1	PQ740683	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740684.1	PQ740684	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740685.1	PQ740685	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740686.1	PQ740686	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740687.1	PQ740687	cVDPV	VDPV		PV2	Germany	2024-10-28
PQ740688.1	PQ740688	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740689.1	PQ740689	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740690.1	PQ740690	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740691.1	PQ740691	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740692.1	PQ740692	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740693.1	PQ740693	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740694.1	PQ740694	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740695.1	PQ740695	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740696.1	PQ740696	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740697.1	PQ740697	cVDPV	VDPV		PV2	Germany	2024-11-12
PQ740698.1	PQ740698	cVDPV	VDPV		PV2	Germany	2024-11-12
PQ740699.1	PQ740699	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740700.1	PQ740700	cVDPV	VDPV		PV2	Germany	2024-11-18
PQ740701.1	PQ740701	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740702.1	PQ740702	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740703.1	PQ740703	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740704.1	PQ740704	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740705.1	PQ740705	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ740706.1	PQ740706	cVDPV	VDPV		PV2	Germany	2024-11-11
PQ789802.1	PQ789802	cVDPV	VDPV		PV2	Poland	2024
PQ789803.1	PQ789803	cVDPV	VDPV		PV2	Poland	2024
PQ812274.1	PQ812274	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812275.1	PQ812275	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812276.1	PQ812276	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812277.1	PQ812277	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812278.1	PQ812278	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812279.1	PQ812279	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ812280.1	PQ812280	cVDPV	VDPV		PV2	Finland	2024-11-18
PQ816218.1	PQ816218	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ816219.1	PQ816219	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ816220.1	PQ816220	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ816221.1	PQ816221	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ816222.1	PQ816222	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ816223.1	PQ816223	cVDPV	VDPV		PV2	United Kingdom	2024-12
PQ816338.1	PQ816338	cVDPV	VDPV		PV2	Spain	2024-09-16
PQ824226.1	PQ824226	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ824227.1	PQ824227	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ824228.1	PQ824228	cVDPV	VDPV		PV2	United Kingdom	2024-11
PQ824229.1	PQ824229	cVDPV	VDPV		PV2	United Kingdom	2024-12
PX725671.1	PX725671	cVDPV	VDPV		PV2	Botswana	2022
PX725672.1	PX725672	cVDPV	VDPV		PV2	Botswana	2022
PX725673.1	PX725673	cVDPV	VDPV		PV2	Botswana	2022
PX725674.1	PX725674	cVDPV	VDPV		PV2	Botswana	2022
PX725675.1	PX725675	cVDPV	VDPV		PV2	Botswana	2022
PX725676.1	PX725676	cVDPV	VDPV		PV2	Botswana	2022
PX725677.1	PX725677	cVDPV	VDPV		PV2	Botswana	2022
PX725678.1	PX725678	cVDPV	VDPV		PV2	Botswana	2023
PX725679.1	PX725679	cVDPV	VDPV		PV2	Botswana	2023
PX725680.1	PX725680	cVDPV	VDPV		PV2	Botswana	2023
PX725681.1	PX725681	cVDPV	VDPV		PV2	Botswana	2023
PX725682.1	PX725682	cVDPV	VDPV		PV2	Botswana	2023
PX725683.1	PX725683	cVDPV	VDPV		PV2	Botswana	2023
S81521.1	S81521	wild		too_little_vp1_compared_to_measure_divergence	PV3		
V01148.1	V01148	wild	VDPV		PV1		
V01149.1	V01149	wild	Sabin-like		PV1		
V01540.1	V01540	wild	Sabin-like		PV3		
X70506.1	X70506	wild		too_little_vp1_compared_to_measure_divergence	PV1		
X70507.1	X70507	wild		too_little_vp1_compared_to_measure_divergence	PV3		
